"","subject","Gender","Age","Income","numeric_income","Education","Country","FinancialLiteracy","condition","response"
"122","R_O273HKVe4iY2Myl","Female",20,"Less than 20000€",0,14,"Austria",3,"free",0
"123","R_11Xt8NNCUQlz5y6","Female",31,"30000 € - 40000 €",2,18,"Austria",4,"free",0
"124","R_AiLMAR6JbHzYq7T","Female",35,"50000 € - 60000 €",4,17,"Austria",2,"free",1
"125","R_2xGhfiUk3BMGAEv","Female",57,"20000 € - 30000 €",1,15,"Austria",4,"free",0
"126","R_3PsCgXVYZdRbHlv","Male",23,"Less than 20000€",0,15,"Austria",3,"free",1
"127","R_AsQhpZFPnLzQh9v","Male",22,"Less than 20000€",0,16,"Austria",4,"free",0
"128","R_25tMSZPEalKg0Ku","Female",59,"40000 € - 50000 €",3,18,"Austria",2,"free",0
"129","R_eldKo7TFPJf5hQZ","Male",32,"30000 € - 40000 €",2,25,"Austria",4,"free",1
"130","R_XvuygHmCQh9k2nn","Female",23,"Less than 20000€",0,15,"Austria",1,"free",0
"131","R_12yXYUbz7BkUi0G","Male",45,"30000 € - 40000 €",2,15,"Austria",0,"free",0
"132","R_3De9mejg6cxR9wJ","Male",24,"Less than 20000€",0,15,"Austria",3,"free",0
"133","R_pyfZEeEuK9eETYt","Male",24,"Less than 20000€",0,16,"Austria",3,"free",0
"134","R_2VvyiFAl4du2Rh1","Male",26,"Less than 20000€",0,18,"Austria",2,"free",0
"135","R_2ToeLVnjGa9HS5N","Female",28,"20000 € - 30000 €",1,17,"Austria",3,"free",0
"136","R_3Mb1ud2tQVZxmFb","Male",24,"Prefer not to answer",NA,17,"Austria",3,"free",0
"137","R_2E60x16CnFtLT3c","Male",30,"20000 € - 30000 €",1,9,"Austria",2,"free",0
"138","R_emt5psRuecqD9Jf","Male",31,"20000 € - 30000 €",1,21,"Austria",3,"free",0
"139","R_1Ow3a187SVwh3sb","Female",25,"20000 € - 30000 €",1,19,"Austria",2,"free",1
"140","R_3meFplNWBE0nS8p","Male",25,"Less than 20000€",0,18,"Austria",4,"free",0
"141","R_2Qy76R6ZSOrZhH1","Female",20,"Less than 20000€",0,14,"Austria",4,"free",0
"142","R_6KGl9lsqDZQTY3L","Female",21,"Less than 20000€",0,15,"Austria",2,"free",0
"143","R_33fGYrDHsRLi7tM","Male",20,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"144","R_RDdzzxBolxRskzD","Female",25,"Less than 20000€",0,17,"Austria",3,"free",1
"145","R_3q9hmOtJVYA53vw","Female",27,"Less than 20000€",0,20,"Austria",1,"free",0
"146","R_12LSz9uFp0FpAzp","Female",23,"Less than 20000€",0,17,"Austria",3,"free",1
"147","R_3ehmYIGdUCqbDjX","Female",22,"Less than 20000€",0,8,"Austria",2,"free",0
"148","R_3PjAqLoIyibuXuE","Male",25,"30000 € - 40000 €",2,13,"Austria",1,"free",0
"149","R_2Yn9ODDN7EGpYrF","Female",22,"Less than 20000€",0,15,"Austria",3,"free",0
"150","R_sHlvHsPshvzgzZv","Male",24,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"151","R_11jVPb0wTYmIy6k","Female",24,"30000 € - 40000 €",2,9,"Austria",0,"free",0
"152","R_3CPgpNMX8pbyP3B","Female",38,"20000 € - 30000 €",1,22,"Austria",4,"free",0
"153","R_b1nEo9uOqxYP37X","Female",35,"20000 € - 30000 €",1,10,"Austria",2,"free",0
"154","R_1CmfEWy2RPEI84E","Male",19,"Less than 20000€",0,12,"Austria",2,"free",0
"155","R_12AATmTuIuwX4bC","Female",29,"20000 € - 30000 €",1,10,"Austria",3,"free",0
"156","R_1opzcFoQX96z6Bw","Female",47,"Less than 20000€",0,13,"Austria",2,"free",0
"157","R_uh4oxraQjcMeUQV","Female",30,"Less than 20000€",0,21,"Austria",1,"free",0
"158","R_W236lqhuIEdcj7j","Female",23,"Prefer not to answer",NA,17,"Austria",2,"free",0
"159","R_3DiOs88rn4N1H0d","Male",27,"30000 € - 40000 €",2,19,"Austria",3,"free",0
"160","R_1jp8BkUdAtqTPdX","Female",24,"Less than 20000€",0,9,"Austria",3,"free",0
"161","R_3edVifqrKyjcbOl","Female",30,"20000 € - 30000 €",1,8,"Austria",3,"free",0
"162","R_2TLu5gaIQGKl6TM","Female",22,"Less than 20000€",0,8,"Austria",2,"free",0
"163","R_2Yy8BrdIjRnKfrM","Female",23,"Less than 20000€",0,16,"Austria",2,"free",0
"164","R_yt0gx7zcDzlObOp","Female",40,"30000 € - 40000 €",2,14,"Austria",2,"free",1
"165","R_2ZHqFNkEeDuKJ6V","Female",31,"Less than 20000€",0,9,"Austria",3,"free",0
"166","R_1pSBDkbdlX9byP8","Female",29,"20000 € - 30000 €",1,4,"Austria",1,"free",0
"167","R_1mDl0ZAivCpxiU9","Female",22,"Less than 20000€",0,16,"Austria",2,"free",0
"168","R_xErN6lCesT0Ul3j","Female",20,"Prefer not to answer",NA,13,"Austria",2,"free",0
"169","R_2fdiHlzbxubzi8B","Female",23,"20000 € - 30000 €",1,14,"Austria",2,"free",1
"170","R_XtzUu9i3Zp0LsRj","Female",30,"20000 € - 30000 €",1,15,"Austria",3,"free",0
"171","R_1FDppyOIPc1FUVm","Male",30,"20000 € - 30000 €",1,20,"Austria",2,"free",1
"172","R_RhlRMiJjlznTe0N","Female",30,"20000 € - 30000 €",1,12,"Austria",0,"free",0
"173","R_2aE8OQ2Ezo5yIu1","Female",24,"20000 € - 30000 €",1,18,"Austria",3,"free",0
"174","R_RnyQG9IP8ZXBks1","Female",35,"Less than 20000€",0,20,"Austria",2,"free",0
"175","R_3lrkNSSBbfK2KdW","Female",25,"Prefer not to answer",NA,17,"Austria",3,"free",0
"176","R_2eXPYdfCiIxpGsJ","Male",25,"20000 € - 30000 €",1,18,"Austria",3,"free",0
"177","R_1QSNzIhkGmSZAMp","Female",24,"Less than 20000€",0,17,"Austria",3,"free",0
"178","R_uzjX1fvyM4twnEB","Female",24,"Less than 20000€",0,18,"Austria",2,"free",0
"179","R_11cngFihuZtQEti","Female",25,"40000 € - 50000 €",3,16,"Austria",2,"free",0
"180","R_3HRetemAtiOqKvx","Male",26,"Less than 20000€",0,18,"Austria",2,"free",0
"181","R_2wgF5tDV4HVTftL","Female",27,"Less than 20000€",0,17,"Austria",3,"free",0
"182","R_125veBZbsZdZtab","Male",25,"20000 € - 30000 €",1,10,"Austria",2,"free",0
"183","R_3irSRIH4boiJmGi","Male",22,"20000 € - 30000 €",1,13,"Austria",3,"free",1
"184","R_3hcIe6HDcNOuxpu","Female",26,"Less than 20000€",0,18,"Austria",3,"free",0
"185","R_3oZpPipWfwv7miI","Male",29,"30000 € - 40000 €",2,16,"Austria",4,"free",0
"186","R_2VwOHPp3ofZujUt","Female",34,"50000 € - 60000 €",4,18,"Austria",3,"free",0
"187","R_2E48ODqj2omjxDD","Female",19,"Less than 20000€",0,13,"Austria",1,"free",0
"188","R_29mMgwXBiL64XWF","Female",20,"Less than 20000€",0,14,"Austria",1,"free",0
"189","R_1nMVFcbuXzHDGcq","Female",18,"Prefer not to answer",NA,12,"Austria",0,"free",0
"190","R_SNc1eAvMvVRJ9wl","Female",19,"Prefer not to answer",NA,12,"Austria",0,"free",0
"191","R_2Sl7tdJnyu5HctZ","Male",19,"Less than 20000€",0,12,"Austria",0,"free",0
"192","R_3L5agpIoOjxzetQ","Male",21,"Less than 20000€",0,14,"Austria",3,"free",0
"193","R_2tCZ89TdrR6wckv","Male",23,"Less than 20000€",0,17,"Austria",3,"free",1
"194","R_RXHjqQV6jksyS77","Male",31,"20000 € - 30000 €",1,20,"Austria",3,"free",0
"195","R_1igvCAC4cTVsnzd","Female",33,"30000 € - 40000 €",2,13,"Austria",1,"free",0
"196","R_2rUCvdyDd2s4amn","Female",22,"Less than 20000€",0,16,"Austria",3,"free",0
"197","R_wZbAtcCpUC0PWXD","Female",50,"20000 € - 30000 €",1,13,"Austria",3,"free",1
"198","R_O9Cy09ljfolFpZf","Female",24,"Less than 20000€",0,17,"Austria",1,"free",0
"199","R_2uxrYaXjxs9lFlr","Male",26,"30000 € - 40000 €",2,20,"Austria",3,"free",0
"200","R_24oQEIEewJccBbw","Male",24,"20000 € - 30000 €",1,9,"Austria",3,"free",0
"201","R_0MWQLRMvqzEqUGB","Female",23,"Less than 20000€",0,7,"Austria",2,"free",0
"202","R_3sbu9nXRnyIHKJ8","Female",37,"50000 € - 60000 €",4,30,"Austria",4,"free",0
"203","R_1Q0z7t0iWBuxf0X","Female",23,"20000 € - 30000 €",1,15,"Austria",3,"free",0
"204","R_3ReKP81jrFV8ElX","Female",32,"50000 € - 60000 €",4,20,"Austria",4,"free",0
"205","R_1mUvASNGaKO3q8U","Male",24,"Prefer not to answer",NA,16,"Austria",3,"free",0
"206","R_ujPK0bRgTswyHnj","Female",34,"50000 € - 60000 €",4,12,"Austria",3,"free",0
"207","R_01EVG5DAaxe2y3f","Female",30,"20000 € - 30000 €",1,21,"Austria",0,"free",0
"208","R_3HChIniDBf8WdE5","Female",33,"20000 € - 30000 €",1,20,"Austria",3,"free",0
"209","R_3HnOP7h1RHmcRYw","Male",23,"Less than 20000€",0,16,"Austria",2,"free",0
"210","R_2s1lk6adGygrWUx","Male",24,"Less than 20000€",0,14,"Austria",1,"free",0
"211","R_3g9TP572SNc7XQl","Male",21,"Less than 20000€",0,14,"Austria",4,"free",0
"212","R_2Bba9u7P8NrcZmT","Female",32,"Less than 20000€",0,9,"Austria",2,"free",0
"213","R_snWMcZo2zObZ5cZ","Female",27,"Less than 20000€",0,16,"Austria",3,"free",0
"214","R_2th62iUX00PkbgA","Female",20,"Less than 20000€",0,15,"Austria",3,"free",0
"215","R_2odoh9sfg4sQrwR","Female",67,"40000 € - 50000 €",3,14,"Austria",2,"free",0
"216","R_1LiNAA4zQIfTBlA","Female",68,"30000 € - 40000 €",2,18,"Austria",3,"free",0
"217","R_3Du5j0mdRlfYDfR","Female",49,"Less than 20000€",0,15,"Austria",2,"free",1
"218","R_1K852ZYHWoP8eGS","Female",20,"Less than 20000€",0,14,"Austria",1,"free",0
"219","R_2U5iIDdfYPJt02T","Male",38,"20000 € - 30000 €",1,10,"Austria",2,"free",0
"220","R_2Sv53IDtDTHJgVC","Female",28,"30000 € - 40000 €",2,12,"Austria",3,"free",0
"221","R_2pXCTYeRZReyiZ8","Female",23,"20000 € - 30000 €",1,12,"Austria",1,"free",0
"222","R_1gIrDiVTqYK1meY","Male",35,"20000 € - 30000 €",1,5,"Austria",4,"free",0
"223","R_Rep0HLUJeq5Ebv3","Female",25,"20000 € - 30000 €",1,14,"Austria",1,"free",0
"224","R_OwDXOQOCls5O33X","Male",33,"40000 € - 50000 €",3,18,"Austria",2,"free",0
"225","R_OvtLTu2p45J3k6B","Male",24,"Less than 20000€",0,17,"Austria",3,"free",0
"226","R_1OpFOpIQmhS0eBf","Male",40,"40000 € - 50000 €",3,8,"Austria",4,"free",0
"227","R_cunQlVIQnmtCafn","Female",19,"Less than 20000€",0,14,"Austria",1,"free",0
"228","R_3p6d6IpFAwMvnsE","Male",32,"30000 € - 40000 €",2,12,"Austria",3,"free",1
"229","R_1hZ4JZ61XuuYkRC","Female",28,"50000 € - 60000 €",4,17,"Austria",3,"free",0
"230","R_2ckeJ5HoW5EaLkU","Female",22,"Less than 20000€",0,7,"Austria",2,"free",0
"231","R_1OMFx5818vk9sgC","Female",34,"30000 € - 40000 €",2,12,"Austria",3,"free",1
"232","R_12lubvGTUNJrVVc","Male",36,"40000 € - 50000 €",3,11,"Austria",3,"free",0
"233","R_vGM7VBZPKHOsBFv","Female",25,"Less than 20000€",0,14,"Austria",1,"free",0
"234","R_3EnCbeND5jIV979","Female",29,"20000 € - 30000 €",1,13,"Austria",3,"free",0
"235","R_2ahSv1HOS8KhB51","Female",21,"20000 € - 30000 €",1,15,"Austria",3,"free",0
"236","R_1FhrwehsMjmy1We","Female",25,"30000 € - 40000 €",2,18,"Austria",3,"free",0
"237","R_3nrBd7IDfzXqtf6","Female",31,"40000 € - 50000 €",3,16,"Austria",2,"free",0
"238","R_vJoLLhX22duztux","Male",28,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"239","R_ClewUGf3mrh5pPX","Female",18,"Less than 20000€",0,11,"Austria",0,"free",0
"240","R_3NwjLpxiQmmJ2TO","Female",31,"Less than 20000€",0,13,"Austria",0,"free",0
"241","R_cCmqya32GFr7Kc9","Male",24,"20000 € - 30000 €",1,13,"Austria",4,"free",0
"242","R_1CmxxMlbQNCUZR2","Female",24,"Less than 20000€",0,18,"Austria",2,"free",0
"243","R_1nONis291E8wyAa","Male",25,"Less than 20000€",0,16,"Austria",4,"free",1
"244","R_1DI5iHobmfemjXU","Male",29,"20000 € - 30000 €",1,13,"Austria",1,"free",0
"245","R_2zBhITGkdBmS96u","Female",26,"Less than 20000€",0,19,"Austria",1,"free",0
"246","R_21H6Vu7VOHjCiWX","Female",22,"Less than 20000€",0,15,"Austria",3,"free",0
"247","R_24jgjnLbm48yygp","Female",52,"Less than 20000€",0,15,"Austria",3,"free",0
"248","R_8IFgSpgwrQ8LbNL","Female",34,"40000 € - 50000 €",3,16,"Austria",3,"free",0
"249","R_1ePt3CigCEVRM9b","Female",25,"20000 € - 30000 €",1,17,"Austria",1,"free",0
"250","R_3fE6Fh4a4dGFEx2","Female",35,"20000 € - 30000 €",1,18,"Austria",1,"free",0
"251","R_SPfqmGFlbeVJ5MB","Male",18,"20000 € - 30000 €",1,9,"Austria",0,"free",1
"252","R_1JUPMw80HTRTIZM","Female",36,"50000 € - 60000 €",4,20,"Austria",4,"free",0
"253","R_1NnsRjE2jFu0R1O","Male",23,"Less than 20000€",0,16,"Austria",3,"free",1
"254","R_2woWYWV13sQPayp","Female",22,"Prefer not to answer",NA,13,"Austria",0,"free",0
"255","R_3Jn4tKmL5CERI6q","Female",21,"Less than 20000€",0,14,"Austria",4,"free",0
"256","R_3k5GwScRdKftxYY","Male",52,"More than 60000 €",5,14,"Austria",3,"free",1
"257","R_2ymxexWUfayfdA2","Female",24,"Less than 20000€",0,17,"Austria",3,"free",0
"258","R_3oEDqMHuflI33An","Female",51,"More than 60000 €",5,12,"Austria",3,"free",1
"259","R_1LbM0WXdN7nTBIh","Male",18,"More than 60000 €",5,14,"Austria",3,"free",0
"260","R_3hstLTCnRMwq8l9","Female",39,"30000 € - 40000 €",2,17,"Austria",4,"free",0
"261","R_qO61bBSvpzwJtFD","Female",21,"Less than 20000€",0,14,"Austria",2,"free",0
"262","R_etit4k6r7eAJMGZ","Female",21,"Less than 20000€",0,14,"Austria",3,"free",1
"263","R_3NWAfiwvZa0IAlv","Female",40,"Less than 20000€",0,15,"Austria",3,"free",1
"264","R_2tKnmUHC4BQFW3Z","Female",29,"Less than 20000€",0,17,"Austria",3,"free",0
"265","R_1ifIQ1N3Zy7ynoH","Female",23,"Less than 20000€",0,17,"Austria",2,"free",0
"266","R_YbiZdXhcwrYYiUF","Female",50,"Prefer not to answer",NA,11,"Austria",2,"purchased",0
"267","R_1puPa4dqnAjWUnB","Male",66,"50000 € - 60000 €",4,18,"Austria",4,"purchased",0
"268","R_eexGPMWuZPgFuH7","Female",27,"20000 € - 30000 €",1,17,"Austria",3,"purchased",0
