StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,R
2022-09-15 19:05:33,2022-09-15 19:19:57,IP Address,100,863,True,2022-09-15 19:19:57,R_2xKkAtDa5MLRe0Z,anonymous,PT,0.8999999761581421,I agree to participate in the research,B,5,10,5,15,5,4,2,3,No,5,10,5,15,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,10,5,10,No,4,2,2,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",1.5,Less than 102 €,Less than today,I do not know,I do not know,Moderately serious,Female,25,Less than 5500 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 00:23:08,2022-09-16 00:32:48,IP Address,100,579,True,2022-09-16 00:32:48,R_1F50Gt8SkBuZ5wI,anonymous,PT,1,I agree to participate in the research,A,0,0,0,0,0,4,4,3,Yes,5,5,5,5,A,No,Pay your friend 10 € for the coupon.,B,10,10,10,10,Yes,4,4,3,B,No,Pay your friend 10 € for the coupon.,0.25,More than 102 €,More than today,I do not know,I do not know,Absolutely serious,Male,43,13 700 € – 16 500 €,21,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 05:09:35,2022-09-16 05:18:26,IP Address,100,530,True,2022-09-16 05:18:26,R_x57aqSVRkkaChnX,anonymous,PT,1,I agree to participate in the research,A,5,15,5,15,6,2,"Strongly disagree
5","Strongly disagree
5",No,5,15,5,15,A,Yes,Consider it a gift and not pay for the coupon.,B,10,10,10,15,No,"Strongly disagree

5
","Strongly agree

1
",2,B,No,Consider it a gift and not pay for the coupon.,2,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,24,Less than 5500 €,19,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 05:04:26,2022-09-16 05:20:16,IP Address,100,950,True,2022-09-16 05:20:16,R_bKhR5NySlntNab7,anonymous,PT,1,I agree to participate in the research,B,0,5,0,9,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,7,7,9,A,Yes,Consider it a gift and not pay for the coupon.,A,5,7,7,9,Yes,2,4,"Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,1.20,More than 102 €,Less than today,I do not know,I do not know,Moderately serious,Female,25,Less than 5500 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 05:32:46,2022-09-16 05:47:34,IP Address,100,887,True,2022-09-16 05:47:34,R_erePxW3SqOf0JYl,anonymous,PT,1,I agree to participate in the research,"No difference ",5,5,10,10,5,3,2,2,No,5,5,10,10,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,10,10,10,No,"Strongly disagree

5
",3,2,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",5,More than 102 €,I do not know,True,They remain unchanged,Very serious,Female,27,11 000 € – 13 700 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 07:00:07,2022-09-16 07:12:02,IP Address,100,714,True,2022-09-16 07:12:02,R_27dor7jDbq68Rtk,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,25,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,10,10,15,No difference,No,Pay your friend 10 € for the coupon.,No difference,10,15,10,15,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",A,No,Pay your friend 10 € for the coupon.,5,Less than 102 €,Less than today,True,There is no relationship,Very serious,Female,24,5500 € – 8200 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 07:06:14,2022-09-16 07:15:19,IP Address,100,544,True,2022-09-16 07:15:19,R_2zje9Bai12mXSF2,anonymous,PT,1,I agree to participate in the research,A,0,5,0,5,5,"Strongly agree
1","Strongly disagree
5","Strongly agree
1",Yes,0,5,0,5,A,Yes,Consider it a gift and not pay for the coupon.,B,0,5,0,10,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",B,Yes,Consider it a gift and not pay for the coupon.,2,More than 102 €,More than today,False,They remain unchanged,Very serious,Male,55,11 000 € – 13 700 €,13,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 07:22:25,2022-09-16 07:42:52,IP Address,100,1226,True,2022-09-16 07:42:53,R_x4M6ImI6eezxPbz,anonymous,PT,1,I agree to participate in the research,"No difference ",0,0,0,0,5,2,4,4,No,3,5,8,10,No difference,No,Pay your friend 10 € for the coupon.,B,5,8,8,10,No,3,2,3,B,No,Pay your friend 10 € for the coupon.,3,More than 102 €,I do not know,I do not know,I do not know,Absolutely serious,Female,22,Prefer not to answer,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 08:18:16,2022-09-16 08:32:43,IP Address,100,866,True,2022-09-16 08:32:43,R_1GCylpzKtCye9ho,anonymous,PT,0.4000000059604645,I agree to participate in the research,"No difference ",5,5,10,10,10,4,2,3,No,5,5,10,10,A,Yes,Consider it a gift and not pay for the coupon.,B,10,10,10,10,No,4,2,3,No difference,Yes,Consider it a gift and not pay for the coupon.,2,More than 102 €,Exactly the same as today,False,They collapse,Slightly serious,Prefer not to say,24,22 000 € – 27 000 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 09:17:48,2022-09-16 09:37:52,IP Address,100,1203,True,2022-09-16 09:37:52,R_Tw8QxO5UWzT0NBT,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,10,4,4,3,No,5,5,5,10,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,10,10,10,No,3,4,3,B,Yes,Pay your friend 10 € for the coupon.,2,Exactly 102 €,Less than today,False,They collapse,Very serious,Female,42,8200 € – 11 000 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 11:51:39,2022-09-16 11:59:54,IP Address,100,494,True,2022-09-16 11:59:54,R_NX9v4VoKhEPphzr,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,5,10,5,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,10,5,10,A,No,Pay your friend 10 € for the coupon.,A,10,10,10,15,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",A,No,Pay your friend 10 € for the coupon.,1.50,More than 102 €,Less than today,I do not know,I do not know,Absolutely serious,Female,31,8200 € – 11 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 11:54:45,2022-09-16 12:05:22,IP Address,100,636,True,2022-09-16 12:05:22,R_vc1W7UDItIupupz,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,0,0,0,0,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,5,5,A,No,Consider it a gift and not pay for the coupon.,B,5,5,10,10,Yes,"Strongly disagree

5
","Strongly agree

1
",3,B,Yes,Consider it a gift and not pay for the coupon.,2,More than 102 €,Exactly the same as today,I do not know,I do not know,Moderately serious,Female,30,11 000 € – 13 700 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 11:55:14,2022-09-16 12:06:39,IP Address,100,685,True,2022-09-16 12:06:39,R_2TuD4jWqVQVbLN0,anonymous,PT,1,I agree to participate in the research,"No difference ",0,0,0,0,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,15,20,25,30,No difference,Yes,Pay your friend 10 € for the coupon.,No difference,5,10,10,15,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,Yes,Pay your friend 10 € for the coupon.,2,Exactly 102 €,I do not know,False,I do not know,Absolutely serious,Female,34,8200 € – 11 000 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 12:04:05,2022-09-16 12:13:46,IP Address,100,580,True,2022-09-16 12:13:46,R_1pmqKwC27tluuwR,anonymous,PT,1,I agree to participate in the research,A,0,5,0,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,10,10,10,10,No,4,2,3,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",1,More than 102 €,Less than today,False,There is no relationship,Absolutely serious,Female,31,11 000 € – 13 700 €,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 11:51:57,2022-09-16 12:15:16,IP Address,100,1399,True,2022-09-16 12:15:16,R_1ltxUGT119B43Fr,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",0,5,0,5,10,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,0,5,0,7,A,Yes,Pay your friend 10 € for the coupon.,A,5,10,5,10,No,"Strongly disagree

5
","Strongly agree

1
",3,B,Yes,Pay your friend 10 € for the coupon.,5,More than 102 €,I do not know,False,I do not know,Absolutely serious,Female,27,More than 27 000 €,16,United Kingdom of Great Britain and Northern Ireland,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 12:06:44,2022-09-16 12:15:55,IP Address,100,551,True,2022-09-16 12:15:56,R_28UjjKJAyjYO0qf,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,5,10,10,10,10,"Strongly disagree
5","Strongly agree
1","Strongly disagree
5",No,5,5,10,10,A,Yes,Consider it a gift and not pay for the coupon.,B,5,10,10,10,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,5,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,25,Less than 5500 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 12:04:46,2022-09-16 12:17:24,IP Address,100,758,True,2022-09-16 12:17:25,R_2UXCP8NFCyr7WBp,anonymous,PT,0.699999988079071,I agree to participate in the research,"No difference ",5,10,10,20,3,2,"Strongly disagree
5","Strongly disagree
5",Yes,5,10,10,20,No difference,No,Pay your friend 10 € for the coupon.,B,10,20,10,20,Yes,2,"Strongly agree

1
","Strongly disagree

5
",B,No,Pay your friend 10 € for the coupon.,2,I do not know,I do not know,True,They remain unchanged,Moderately serious,Female,27,Less than 5500 €,5,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-16 12:33:43,2022-09-16 12:46:30,IP Address,100,767,True,2022-09-16 12:46:31,R_3NDT0f4QUOeemM7,anonymous,PT,0.699999988079071,I agree to participate in the research,A,5,5,5,15,5,2,2,2,No,5,5,10,15,A,No,Consider it a gift and not pay for the coupon.,B,10,15,15,20,Yes,2,2,3,No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",5,I do not know,Less than today,False,They remain unchanged,Moderately serious,Female,24,8200 € – 11 000 €,3,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
