"","subject","Gender","Age","Income","Education","Residence","Country","NativeLanguage","FinancialLiteracy","attention_check_grater_than_3","attention_check_grater_than_2","loi_lower_than_loiX0_33","native_language_is_country_language","coupon","response","numeric_income"
"58","R_1DU6FOvzjLF7oVn","Female","33","More than 60000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"59","R_2ZK6udDlQyzDxVW","Female","22","Less than 20000€","14","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"60","R_1guLLPbrkaqiKPn","Female","24","Less than 20000€","17","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,0
"61","R_27Btsu4LDEsCJ99","Female","27","Less than 20000€","22","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"62","R_DuAwJUQmpuzjwAN","Female","28","40000 € - 50000 €","14","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",1,3
"63","R_1IKKQCVGOyvnyau","Male","25","Less than 20000€","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"64","R_242bWxaodIS6uC7","Female","21","Less than 20000€","16","Austria","Austria","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,0
"65","R_2VOprTziCkUM2Vv","Prefer not to say","29","Prefer not to answer","3","Germany","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",1,NA
"66","R_2sbXAgTdqP9sotm","Male","24","20000 € - 30000 €","17","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"67","R_eaPZh97cGsyobcd","Male","40","50000 € - 60000 €","13","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,4
"68","R_vkjyWbrd1MhsnSx","Male","26","Less than 20000€","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"69","R_1rwYqp65YMFaOXY","Male","27","30000 € - 40000 €","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"70","R_1flPmmNb0U6OFpB","Female","22","Less than 20000€","16","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,0
"71","R_1Hk8esY8vAIhNCG","Male","35","30000 € - 40000 €","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"72","R_1CJVwxSpRQsysXy","Female","31","50000 € - 60000 €","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,4
"73","R_TgRBWKcBvhPMDBv","Non-binary / third gender","27","20000 € - 30000 €","19","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"74","R_2y9gCcyVnhbXiLy","Female","40","50000 € - 60000 €","16","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,4
"75","R_30kLkRe4TxfplMw","Male","39","More than 60000 €","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,5
"76","R_271AkGtX2UHHD95","Male","30","30000 € - 40000 €","22","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"77","R_UzJlYDrsPAdKUFj","Female","25","Less than 20000€","18","Germany","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"78","R_3qfhV41AeOhMBoA","Female","23","20000 € - 30000 €","14.5","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"79","R_urzVgCW6x4wLqjT","Female","27","More than 60000 €","13","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,5
"80","R_31T86Y6Bvld3K7z","Female","65","Less than 20000€","11","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"81","R_1kOblTGlxVfXNU2","Female","37","Less than 20000€","16","Austria","Austria","German",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"82","R_3iJqWZnTxsi2ARe","Female","63","40000 € - 50000 €","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,3
"83","R_1LYDjswOAFTbD3a","Male","27","More than 60000 €","22","Austria","Austria","Hindi",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"84","R_SIhwpQI9IytbCOl","Female","23","Prefer not to answer","15","Luxembourg","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"85","R_32Q4UE6467KBgPb","Female","32","40000 € - 50000 €","17","Austria","Austria","Spanish",2,TRUE,TRUE,FALSE,FALSE,"free",0,3
"86","R_1GPPaWV7YbIzZH9","Female","25","Less than 20000€","13","Germany","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"87","R_pPICens7KBcCPrX","Male","30","More than 60000 €","17","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,5
"88","R_RKwL9sFnMEudf5n","Female","26","Less than 20000€","18","Germany","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"89","R_OJN8WGTmtpfXv7r","Female","26","Prefer not to answer","17","Germany","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"90","R_UbQVZ7zVgBjocsV","Male","25","Less than 20000€","19","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"91","R_2TUaIrNZ5R0JH3G","Female","32","30000 € - 40000 €","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"92","R_1HpYJsHEzecYCAw","Female","44","20000 € - 30000 €","12","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"93","R_AdpBgUJsS9H4BFf","Female","28","Less than 20000€","21","Austria","Austria","Italian",1,FALSE,TRUE,FALSE,FALSE,"free",0,0
"94","R_3DkCmqnqWZlZOyS","Male","31","30000 € - 40000 €","12","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"95","R_21AMDNokMRoAUNB","Male","30","30000 € - 40000 €","9","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"96","R_seePf1cEXVxyGxX","Female","25","20000 € - 30000 €","19","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"97","R_ehZ3e3LoVaWGKXL","Male","38","More than 60000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"98","R_2sbG6DqwuZ5O14n","Male","33","50000 € - 60000 €","19","Austria","Austria","German",4,FALSE,FALSE,FALSE,TRUE,"free",0,4
"99","R_2EovLyjGG5EMSnL","Female","21","Less than 20000€","12","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"100","R_3lMQkzPitEUiLaF","Male","48","More than 60000 €","19","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,5
"101","R_8uFlp8itUqKNxTj","Female","42","20000 € - 30000 €","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"102","R_1MLqxTiSglel5JW","Female","55","30000 € - 40000 €","20","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,2
"103","R_1qTYqmlYir4KJoL","Non-binary / third gender","25","20000 € - 30000 €","20","Austria","Austria","German",0,TRUE,TRUE,FALSE,TRUE,"free",0,1
"104","R_24AfAfrg43B4RJW","Male","34","20000 € - 30000 €","11","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"105","R_3PLUrf4mtQIzLXR","Female","60","20000 € - 30000 €","22","Austria","Austria","Hungarian",3,FALSE,TRUE,FALSE,FALSE,"free",0,1
"106","R_2TYs3CpRviw0tbh","Female","37","20000 € - 30000 €","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"107","R_2YEs8RB1wPOFxby","Female","40","30000 € - 40000 €","13","Austria","Austria","Turkish",3,TRUE,TRUE,FALSE,FALSE,"free",1,2
"108","R_1M0ollZY96rSFGO","Female","25","Less than 20000€","19","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,0
"109","R_1q3zM5y9vTKNYMN","Female","30","20000 € - 30000 €","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,1
"110","R_3iVkGZLKpimpDEO","Female","28","20000 € - 30000 €","20","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,1
"111","R_PH6VObesjTEctoZ","Female","22","Less than 20000€","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"112","R_3dSPe0HgY8njdJA","Female","40","20000 € - 30000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"113","R_1LByWHkE6lG0B6H","Male","45","More than 60000 €","20","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"114","R_0PViXsWvwfsX9IJ","Female","29","20000 € - 30000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,1
"115","R_74cWj49cxi4U0x3","Female","36","50000 € - 60000 €","22","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,4
"116","R_3PLJbxYs5ZdN11u","Female","23","Less than 20000€","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"117","R_qQKAFcjZtKVgXzb","Female","23","Less than 20000€","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"118","R_1JIta6ul9MRGwS4","Female","34","30000 € - 40000 €","25","Austria","Austria","Spanish",1,TRUE,TRUE,FALSE,FALSE,"free",0,2
"119","R_sR6dUmluzKNXTa1","Non-binary / third gender","29","40000 € - 50000 €","15","Austria","Austria","German",2,FALSE,TRUE,FALSE,TRUE,"free",0,3
"120","R_BrBSsOGSuOrcStj","Female","26","20000 € - 30000 €","20","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"121","R_1gubDbKT8BZyl2i","Female","39","20000 € - 30000 €","14","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"122","R_2dQ0x0COoNuEI0N","Female","40","More than 60000 €","14","Austria","Austria","Other",2,FALSE,TRUE,FALSE,FALSE,"free",0,5
"123","R_3GsauwEF9xwLSnp","Female","40","20000 € - 30000 €","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"124","R_3IREiF7tQibKa3U","Male","62","More than 60000 €","20","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,5
"125","R_3LklZVUNpgNKmGp","Female","47","40000 € - 50000 €","12","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,3
"126","R_22P1cXzsboSX3S1","Male","40","Less than 20000€","12","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,0
"127","R_2rpa9wQQhGvx13K","Male","19","More than 60000 €","14","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"128","R_PIgtd9g3KDAkWfT","Male","36","50000 € - 60000 €","20","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,4
"129","R_2qFamcgnGdWCaHw","Female","47","More than 60000 €","27","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,5
"130","R_3iCiyZ2fLQYoKLI","Male","28","Less than 20000€","19","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"131","R_22CVmEtY3Nhukdi","Male","25","20000 € - 30000 €","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"132","R_DUi2sOsjol9mFO1","Female","24","30000 € - 40000 €","15","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,2
"133","R_24co84ZTtnzPEUQ","Female","21","Prefer not to answer","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"134","R_2ZVoWotkv0tLyeq","Female","30","Less than 20000€","18","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"135","R_2CxGrLxqnr9IsoJ","Female","62","30000 € - 40000 €","17","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,2
"136","R_3FVx6qhT5YGqxfa","Female","22","20000 € - 30000 €","17","Austria","Austria","Other",3,TRUE,TRUE,FALSE,FALSE,"free",1,1
"137","R_248evxMs9ikz14j","Female","32","20000 € - 30000 €","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"138","R_3QXY2rMpmWNyov9","Male","19","20000 € - 30000 €","10","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"139","R_1HhOF0rhkILMI5z","Female","26","20000 € - 30000 €","19","Germany","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"140","R_2SBvA5SwMIzcmqy","Female","34","Less than 20000€","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"141","R_3MlIiWA63CfOwbg","Male","51","30000 € - 40000 €","17","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",1,2
"142","R_1jeKLV4dZ7OuRuM","Female","34","More than 60000 €","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,5
"143","R_cvX6XL4hG1xCmqt","Female","32","30000 € - 40000 €","12","Austria","Austria","Other",1,TRUE,TRUE,FALSE,FALSE,"free",0,2
"144","R_yUQWGuI2HEwij8l","Male","26","Prefer not to answer","13","Austria","Austria","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,NA
"145","R_3LiqZLvp6EPBPa0","Female","41","More than 60000 €","19","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,5
"146","R_1Loos34Sl2aWWLK","Male","19","More than 60000 €","12","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,5
"147","R_237ttpH59fxUFOT","Female","59","20000 € - 30000 €","9","Austria","Austria","German",0,TRUE,TRUE,FALSE,TRUE,"free",0,1
"148","R_2rve5hX2xPcfl4T","Female","35","20000 € - 30000 €","9","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"149","R_1H62z5qM5S2TFVM","Male","27","More than 60000 €","17","Germany","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,5
"150","R_BJn43MwnOQ5OPa9","Male","32","40000 € - 50000 €","13","Austria","Austria","German",3,FALSE,FALSE,FALSE,TRUE,"free",0,3
"151","R_1gHCmDdWE78Lh45","Female","58","40000 € - 50000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,3
"152","R_1OxUKAckenr5nTD","Female","20","Less than 20000€","14","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"153","R_O273HKVe4iY2Myl","Female","20","Less than 20000€","14","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"154","R_11Xt8NNCUQlz5y6","Female","31","30000 € - 40000 €","18","Austria","Austria","English",4,TRUE,TRUE,FALSE,FALSE,"free",0,2
"155","R_AiLMAR6JbHzYq7T","Female","35","50000 € - 60000 €","17","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",1,4
"156","R_2xGhfiUk3BMGAEv","Female","57","20000 € - 30000 €","15","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,1
"157","R_1QbghGVfvtahBRl","Female","45","20000 € - 30000 €","15","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,1
"158","R_3PsCgXVYZdRbHlv","Male","23","Less than 20000€","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,0
"159","R_Acfw4BRovXfxsAh","Female","63","20000 € - 30000 €","13","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,1
"160","R_AsQhpZFPnLzQh9v","Male","22","Less than 20000€","16","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"161","R_25tMSZPEalKg0Ku","Female","59","40000 € - 50000 €","18","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,3
"162","R_eldKo7TFPJf5hQZ","Male","32","30000 € - 40000 €","25","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,2
"163","R_XvuygHmCQh9k2nn","Female","23","Less than 20000€","15","Austria","Austria","German",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"164","R_12yXYUbz7BkUi0G","Male","45","30000 € - 40000 €","15","Austria","Austria","German",0,TRUE,TRUE,FALSE,TRUE,"free",0,2
"165","R_2rkdSAeUun1ZjIg","Female","24","Less than 20000€","18","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,0
"166","R_3De9mejg6cxR9wJ","Male","24","Less than 20000€","15","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"167","R_pyfZEeEuK9eETYt","Male","24","Less than 20000€","16","Austria","Austria","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,0
"168","R_2VvyiFAl4du2Rh1","Male","26","Less than 20000€","18","Switzerland","Austria","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,0
"169","R_2ToeLVnjGa9HS5N","Female","28","20000 € - 30000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"170","R_3Mb1ud2tQVZxmFb","Male","24","Prefer not to answer","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"171","R_2E60x16CnFtLT3c","Male","30","20000 € - 30000 €","9","Austria","Austria","Russian",2,TRUE,TRUE,FALSE,FALSE,"free",0,1
"172","R_emt5psRuecqD9Jf","Male","31","20000 € - 30000 €","21","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"173","R_1Ow3a187SVwh3sb","Female","25","20000 € - 30000 €","19","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",1,1
"174","R_wM1U8Jdr5zF40YF","Male","28","Less than 20000€","18","Austria","Austria","German",3,FALSE,FALSE,FALSE,TRUE,"free",0,0
"175","R_264t9cD8EkistNc","Female","37","50000 € - 60000 €","18","Austria","Austria","German",2,FALSE,FALSE,FALSE,TRUE,"free",0,4
"176","R_3meFplNWBE0nS8p","Male","25","Less than 20000€","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"177","R_2Qy76R6ZSOrZhH1","Female","20","Less than 20000€","14","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"178","R_6KGl9lsqDZQTY3L","Female","21","Less than 20000€","15","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"179","R_33fGYrDHsRLi7tM","Male","20","20000 € - 30000 €","12","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"180","R_1DRXpROgrT21aKJ","Female","31","Less than 20000€","13","Austria","Austria","German",1,FALSE,TRUE,FALSE,TRUE,"free",1,0
