StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2_1,Gym2_2,Gym2_3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
2022-09-13 01:29:49,2022-09-13 01:39:08,IP Address,100,558,True,2022-09-13 01:39:08,R_2PcX26qdbm7vRnr,anonymous,ZH-S,I agree to participate in the research,A,0,20,0,40,30,"Strongly agree

1
","Strongly disagree

5
",2,No,10,10,20,20,A,Yes,Pay your friend ￥20 for the coupon.,B,20,40,20,40,No,"Strongly agree

1
",2,3,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,21,Less than ￥15000,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:26:51,2022-09-13 01:39:09,IP Address,100,738,True,2022-09-13 01:39:10,R_1EdgzMBkGqZB49q,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,15,"Strongly agree

1
",4,2,Yes,0,20,10,30,A,Yes,Pay your friend ￥20 for the coupon.,B,0,20,10,30,No,4,3,2,B,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Male,19,￥15000 - ￥22000,13,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:20:27,2022-09-13 01:39:40,IP Address,100,1152,True,2022-09-13 01:39:40,R_Zlc0sZk8nYu88TL,anonymous,ZH-S,I agree to participate in the research,A,5,15,10,30,30,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,5,15,10,30,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,10,30,10,30,Yes,3,"Strongly disagree

5
","Strongly agree

1
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",20,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Male,22,￥30000 - ￥37500,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:27:41,2022-09-13 01:40:14,IP Address,100,752,True,2022-09-13 01:40:14,R_22qVIbMmLD4PydP,anonymous,ZH-S,I agree to participate in the research,B,0,20,0,30,50,"Strongly agree

1
","Strongly agree

1
","Strongly disagree

5
",No,10,50,20,60,A,Yes,Consider it a gift and not pay for the coupon.,B,20,50,20,30,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",B,Yes,Pay your friend ￥20 for the coupon.,5,Less than ￥1020,Less than today,False,They collapse,Very serious,Female,23,￥15000 - ￥22000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:27:59,2022-09-13 01:40:24,IP Address,100,745,True,2022-09-13 01:40:25,R_33yu580LyV5hTaC,anonymous,ZH-S,I agree to participate in the research,"No difference ",10,15,15,25,15,"Strongly agree

1
","Strongly disagree

5
",4,Yes,10,15,20,30,A,Yes,Consider it a gift and not pay for the coupon.,B,20,25,20,30,Yes,3,4,2,B,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,23,Prefer not to answer,17,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:24:09,2022-09-13 01:41:21,IP Address,100,1032,True,2022-09-13 01:41:22,R_spx5WtVvPCqM9QB,anonymous,ZH-S,I agree to participate in the research,B,0,15,0,20,30,2,4,2,Yes,10,15,20,30,A,Yes,Pay your friend ￥20 for the coupon.,B,15,25,20,25,No,3,2,2,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Moderately serious,Female,21,Less than ￥15000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:31:37,2022-09-13 01:41:35,IP Address,100,598,True,2022-09-13 01:41:37,R_2XpvMZc4ZHLq0MY,anonymous,ZH-S,I agree to participate in the research,B,0,10,0,20,20,"Strongly agree

1
","Strongly disagree

5
",4,No,10,20,20,20,No difference,Yes,Pay your friend ￥20 for the coupon.,B,20,30,20,30,No,"Strongly disagree

5
","Strongly disagree

5
",2,A,Yes,Pay your friend ￥20 for the coupon.,5,More than ￥1020,Less than today,False,I do not know,Absolutely serious,Female,22,Prefer not to answer,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:30:12,2022-09-13 01:42:52,IP Address,100,759,True,2022-09-13 01:42:52,R_3qVT1KOjQBKf420,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,10,0,20,30,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",No,0,20,0,40,No difference,Yes,Pay your friend ￥20 for the coupon.,No difference,10,20,10,30,No,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",B,Yes,Pay your friend ￥20 for the coupon.,15,Less than ￥1020,Less than today,False,They collapse,Moderately serious,Female,25,Prefer not to answer,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:30:21,2022-09-13 01:43:24,IP Address,100,782,True,2022-09-13 01:43:25,R_2VpVVvdP5ZpB6qq,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,10,0,20,50,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,0,10,0,20,A,No,Consider it a gift and not pay for the coupon.,B,0,15,0,20,Yes,4,"Strongly disagree

5
","Strongly agree

1
",B,No,Consider it a gift and not pay for the coupon.,10,More than ￥1020,I do not know,False,I do not know,Very serious,Male,19,Prefer not to answer,12,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:37:54,2022-09-13 01:46:13,IP Address,100,498,True,2022-09-13 01:46:14,R_3EXVhpwDHqCWCYb,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,10,0,20,15,"Strongly agree

1
","Strongly disagree

5
",4,No,10,20,20,30,B,No,Consider it a gift and not pay for the coupon.,B,20,20,20,30,Yes,3,4,"Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than ￥1020,More than today,False,I do not know,Absolutely serious,Male,20,More than ￥45000,12,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:37:57,2022-09-13 01:48:26,IP Address,100,628,True,2022-09-13 01:48:26,R_2EELfv2a6FG2o4N,anonymous,ZH-S,I agree to participate in the research,"No difference ",10,18,20,25,25,3,4,"Strongly agree

1
",Yes,10,15,20,25,No difference,Yes,Consider it a gift and not pay for the coupon.,B,10,15,20,25,No,"Strongly disagree

5
",2,2,B,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,24,Prefer not to answer,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:41:00,2022-09-13 01:49:42,IP Address,100,521,True,2022-09-13 01:49:43,R_3NxriUAlNZhdS0j,anonymous,ZH-S,I agree to participate in the research,A,10,10,20,20,15,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,10,10,20,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,10,20,20,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",15,Exactly ￥1020,Less than today,I do not know,I do not know,Very serious,Male,18,Prefer not to answer,13,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:43:04,2022-09-13 01:52:38,IP Address,100,573,True,2022-09-13 01:52:39,R_2Pzp3RAwAliDDnZ,anonymous,ZH-S,I agree to participate in the research,A,10,10,20,20,15,2,4,3,Yes,10,10,20,20,A,No,Pay your friend ￥20 for the coupon.,A,10,10,20,20,Yes,2,3,3,No difference,No,Pay your friend ￥20 for the coupon.,5,More than ￥1020,Less than today,False,I do not know,Absolutely serious,Female,18,￥30000 - ￥37500,12,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:41:33,2022-09-13 01:55:56,IP Address,100,862,True,2022-09-13 01:55:56,R_3Mg56F1LaaBi9xG,anonymous,ZH-S,I agree to participate in the research,A,10,20,20,40,10,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,10,20,20,40,No difference,Yes,Pay your friend ￥20 for the coupon.,B,10,20,20,40,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",B,Yes,Pay your friend ￥20 for the coupon.,10,Exactly ￥1020,Less than today,I do not know,They remain unchanged,Moderately serious,Male,26,Less than ￥15000,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:49:25,2022-09-13 02:00:27,IP Address,100,662,True,2022-09-13 02:00:28,R_1Iz5w5KBvbFtfaw,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,10,3,"Strongly disagree

5
","Strongly agree

1
",No,10,10,20,20,A,No,Consider it a gift and not pay for the coupon.,B,20,20,20,20,No,3,"Strongly disagree

5
","Strongly agree

1
",B,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,I do not know,Very serious,Female,20,￥30000 - ￥37500,13,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 02:06:16,2022-09-13 02:17:17,IP Address,100,661,True,2022-09-13 02:17:19,R_ZykT5Eb5khnBKWl,anonymous,ZH-S,I agree to participate in the research,B,10,15,20,25,15,4,4,3,No,10,15,20,25,B,No,Consider it a gift and not pay for the coupon.,B,20,25,25,30,No,4,4,3,B,No,Pay your friend ￥20 for the coupon.,15,More than ￥1020,Less than today,False,They collapse,Moderately serious,Female,21,More than ￥45000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 02:08:25,2022-09-13 02:21:47,IP Address,100,801,True,2022-09-13 02:21:47,R_2dg87UzHFoASdEs,anonymous,ZH-S,I agree to participate in the research,A,10,20,20,30,30,"Strongly agree

1
",4,2,No,10,20,20,30,A,Yes,Consider it a gift and not pay for the coupon.,B,10,20,20,30,No,3,4,2,B,Yes,Consider it a gift and not pay for the coupon.,9,More than ￥1020,Less than today,False,I do not know,Very serious,Female,20,More than ￥45000,14,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 02:15:17,2022-09-13 02:26:49,IP Address,100,692,True,2022-09-13 02:26:50,R_3h6pkipJTg1AnB8,anonymous,ZH-S,I agree to participate in the research,B,8,12,18,22,30,3,"Strongly disagree

5
",2,Yes,9.5,12,19,25,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,20,20,25,Yes,3,"Strongly disagree

5
",2,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",5,More than ￥1020,Less than today,False,I do not know,Very serious,Female,20,￥22000 - ￥30000,14,China,Chinese,I allow you to use the responses I provided in this study.
